filepath;filename;solver;solve-time (ms);parse-time (ms);runtime (ms);IFC;inconsistent_formulas;atoms_valued_both
data\Dataset_A\sig10_15_25\srs_0.txt;srs_0.txt;ASP;16,60;0,00;16,60;14;['F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:f', 'A5:b', 'A6:b', 'A7:t', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_0.txt;srs_0.txt;MaxSAT;1,00;1,30;2,30;14;['F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:f', 'A5:t', 'A6:t', 'A7:t', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_1.txt;srs_1.txt;ASP;11,49;1,00;12,49;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F12', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:t', 'A1:b', 'A2:f', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:f', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_1.txt;srs_1.txt;MaxSAT;1,21;1,16;2,37;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F12', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:t', 'A1:b', 'A2:f', 'A3:b', 'A4:f', 'A5:b', 'A6:t', 'A7:f', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_10.txt;srs_10.txt;ASP;14,83;0,00;14,83;10;['F0', 'F2', 'F3', 'F4', 'F7', 'F8', 'F11', 'F13', 'F14', 'F16'];['A0:t', 'A1:f', 'A2:b', 'A3:t', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:f', 'A9:f']
data\Dataset_A\sig10_15_25\srs_10.txt;srs_10.txt;MaxSAT;0,00;1,55;1,55;10;['F0', 'F2', 'F3', 'F4', 'F7', 'F8', 'F11', 'F13', 'F14', 'F16'];['A0:t', 'A1:f', 'A2:b', 'A3:t', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:f', 'A9:f']
data\Dataset_A\sig10_15_25\srs_100.txt;srs_100.txt;ASP;12,27;0,00;12,27;20;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:b', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_100.txt;srs_100.txt;MaxSAT;0,00;1,34;1,34;20;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:f', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_101.txt;srs_101.txt;ASP;16,62;0,00;16,62;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20', 'F21', 'F22'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_101.txt;srs_101.txt;MaxSAT;0,00;0,00;0,00;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20', 'F21', 'F22'];['A0:b', 'A1:f', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:t', 'A9:b']
